ID,MAR_STAT,AGE,EDUC,GENDER,ETHNIC,RELIG,CAP_PUN,GUN_LAW,SEX_ED,ILL_DIE,READ_NEWS,NEWS_TV,NEWS_PBS,BIGBAND,BLUEGRASS,COUNTRY,BLUES,MUSICALS,CLASSICAL,FOLK,JAZZ
1,3,43,1,1,1,5,2,2,,0,0,1,1,4,4,3,2,2,1,3,2
2,5,44,3,1,2,4,2,1,1,1,1,1,3,2,3,3,1,2,1,2,1
3,3,43,3,2,1,2,1,1,0,,0,1,1,2,3,3,3,1,1,2,3
4,5,45,1,2,1,1,1,0,1,2,1,1,1,8,5,3,3,3,1,5,2
5,5,78,4,2,1,1,2,1,1,2,1,2,3,2,3,4,1,2,1,1,1
6,1,83,1,1,1,3,1,1,0,0,0,1,2,1,3,3,1,2,8,3,1
7,1,55,1,2,1,3,1,1,0,0,0,1,3,1,1,1,2,1,3,2,2
8,1,75,1,1,1,3,1,1,0,0,0,1,2,1,3,3,2,1,1,2,2
9,3,31,4,1,1,2,8,1,1,1,2,2,3,3,2,2,2,3,2,2,3
10,5,54,4,2,1,2,9,1,1,2,2,1,4,2,3,3,2,1,2,3,3
11,5,29,4,2,1,4,2,0,1,1,5,1,2,8,8,3,3,3,3,2,3
12,5,23,1,2,1,1,1,1,0,0,0,1,3,4,2,3,1,2,3,3,2
13,1,61,1,2,1,1,2,0,1,1,5,1,2,8,5,1,4,3,2,3,4
14,4,63,0,2,3,2,8,1,0,0,0,3,5,3,8,5,4,4,5,3,3
15,5,33,0,2,3,2,1,1,1,8,2,3,5,5,5,3,3,5,5,5,1
16,5,36,1,2,2,1,2,0,1,2,2,2,4,4,4,3,2,4,5,5,1
17,5,39,0,2,2,2,8,1,2,2,4,4,5,5,8,5,4,8,5,5,3
18,1,55,1,1,3,5,8,0,2,8,2,1,2,3,8,4,5,3,8,5,5
19,1,55,3,2,1,2,2,1,1,2,1,1,1,3,3,2,4,1,1,2,4
20,1,34,3,1,1,2,1,0,1,1,1,2,2,1,3,4,1,2,3,4,1
21,1,36,2,2,1,2,2,1,1,2,1,1,3,2,3,2,1,2,4,3,3
22,1,44,3,2,1,2,8,1,1,2,1,3,2,5,4,3,5,2,4,3,5
23,2,80,4,1,1,3,2,0,1,1,1,1,1,2,2,3,2,2,1,1,2
24,5,32,3,1,3,2,2,0,1,1,4,1,4,8,8,2,2,3,2,2,2
25,1,37,0,1,3,2,8,0,1,8,3,1,4,3,8,1,4,8,2,8,2
27,1,49,3,2,3,2,1,0,8,2,3,1,2,3,3,2,2,2,2,2,2
28,3,45,3,2,3,2,2,1,0,0,0,1,1,8,8,3,2,2,2,3,1
29,5,36,3,2,1,1,2,1,0,0,0,2,3,2,2,3,2,2,1,2,1
30,5,23,1,2,2,1,2,0,1,1,4,2,4,3,3,3,1,2,1,2,1
31,5,29,4,1,1,1,2,1,0,0,0,1,1,2,3,2,1,2,2,4,1
